Seed,Initial_Density,Final_Step_Count,Final_Density,Reason
4,29,1019,0.0297, stagnated 
5,29,711,0.0346, stagnated 
6,29,1257,0.0315, stagnated 
7,29,562,0.0337, stagnated 
8,29,1564,0.0281, stagnated 
9,29,482,0.0319, stagnated 
10,29,3601,0.029, stagnated 
1,30,3465,0.0264, stagnated 
2,30,594,0.0322, stagnated 
3,30,2137,0.0359, stagnated 
4,30,1036,0.0337, stagnated 
5,30,1134,0.0305, stagnated 
6,30,825,0.0351, stagnated 
7,30,1824,0.0345, stagnated 
8,30,1014,0.0269, stagnated 
9,30,338,0.0313, stagnated 
10,30,494,0.039, stagnated 
1,31,938,0.0336, stagnated 
2,31,1650,0.0321, stagnated 
3,31,1780,0.0249, stagnated 
4,31,1527,0.0326, stagnated 
5,31,721,0.0288, stagnated 
6,31,485,0.0336, stagnated 
7,31,1064,0.0341, stagnated 
8,31,1423,0.0334, stagnated 
9,31,1459,0.0254, stagnated 
10,31,1155,0.0285, stagnated 
1,32,1768,0.029, stagnated 
2,32,1758,0.0266, stagnated 
3,32,771,0.0269, stagnated 
4,32,1557,0.0363, stagnated 
5,32,745,0.03, stagnated 
6,32,1013,0.0328, stagnated 
7,32,616,0.0311, stagnated 
8,32,1170,0.0317, stagnated 
9,32,660,0.0284, stagnated 
10,32,1076,0.0354, stagnated 
1,33,801,0.0433, stagnated 
2,33,662,0.0268, stagnated 
3,33,2552,0.0306, stagnated 
4,33,1031,0.03, stagnated 
5,33,357,0.0426, stagnated 
6,33,387,0.0265, stagnated 
7,33,1415,0.0257, stagnated 
8,33,1233,0.0313, stagnated 
9,33,956,0.0294, stagnated 
10,33,891,0.0299, stagnated 
1,34,3829,0.032, stagnated 
2,34,2153,0.0291, stagnated 
3,34,1039,0.0393, stagnated 
4,34,897,0.032, stagnated 
5,34,2310,0.0296, stagnated 
6,34,1504,0.0294, stagnated 
7,34,1067,0.0338, stagnated 
8,34,1633,0.0308, stagnated 
9,34,806,0.0246, stagnated 
10,34,677,0.0315, stagnated 
1,35,435,0.0361, stagnated 
2,35,1056,0.0366, stagnated 
3,35,579,0.0361, stagnated 
4,35,491,0.0294, stagnated 
5,35,1226,0.0364, stagnated 
6,35,806,0.0248, stagnated 
7,35,999,0.0266, stagnated 
8,35,911,0.0337, stagnated 
9,35,1241,0.033, stagnated 
10,35,1939,0.0334, stagnated 
1,36,3975,0.0323, stagnated 
2,36,813,0.0257, stagnated 
3,36,452,0.0362, stagnated 
